ID,Name,Description,Level,Parent_Group,Req_Science,Req_Design,Req_Resource,Req_Material,Req_Infrastructure,Req_Process,Req_Artifact,Req_Society
MAT-TI_6AL4V,Titanium Grade 5,Титан ВТ6 (Авиация/Импланты),SPECIFIC,GRP-NONFERR,SCI-METALLURGY,,,ELEM-TI;ELEM-AL;ELEM-V,FAC-SMELTER,PROC-VACUUM_MELTING,,
MAT-NITINOL,Nitinol,Нитинол (Память формы),SPECIFIC,GRP-NONFERR,SCI-PHYSICS,,,ELEM-NI;ELEM-TI,FAC-SMELTER,PROC-VACUUM_MELTING,,
MAT-MAGNESIUM_AZ31,Magnesium AZ31,Магниевый лист (Ноутбуки),SPECIFIC,GRP-NONFERR,SCI-METALLURGY,,,ELEM-MG;ELEM-AL;ELEM-ZN,FAC-SMELTER,PROC-ALLOYING,,
MAT-ZINC_DIECAST,Zamak 3,Цинковый сплав (Литье игрушек/Карбюраторов),SPECIFIC,GRP-NONFERR,SCI-METALLURGY,,,ELEM-ZN;ELEM-AL,FAC-FOUNDRY,PROC-CASTING,,
MAT-NICKEL_200,Nickel 200,Чистый никель (Батареи),SPECIFIC,GRP-NONFERR,SCI-METALLURGY,,,ELEM-NI,FAC-SMELTER,PROC-REFINING,,
MAT-MONEL,Monel 400,Монель (Сверхстойкий к морской воде),SPECIFIC,GRP-NONFERR,SCI-METALLURGY,,,ELEM-NI;ELEM-CU,FAC-SMELTER,PROC-ALLOYING,,
MAT-INCONEL_718,Inconel 718,Инконель (Турбины/Ракетные сопла),SPECIFIC,GRP-NONFERR,SCI-METALLURGY,,,ELEM-NI;ELEM-CR;ELEM-FE;ELEM-NB,FAC-SMELTER,PROC-VACUUM_MELTING,,
MAT-HASTELLOY,Hastelloy,Хастеллой (Кислотостойкий),SPECIFIC,GRP-NONFERR,SCI-METALLURGY,,,ELEM-NI;ELEM-MO;ELEM-CR,FAC-SMELTER,PROC-VACUUM_MELTING,,
MAT-TUNGSTEN_CARBIDE,Tungsten Carbide,Карбид вольфрама (Режущий инструмент),SPECIFIC,GRP-NONFERR,SCI-METALLURGY,,,ELEM-W;ELEM-C;ELEM-CO,FAC-SINTERING_PLANT,PROC-SINTERING,,
MAT-SOLDER_6040,Solder Sn60Pb40,Припой ПОС-61,SPECIFIC,GRP-NONFERR,SCI-CHEMISTRY,,,ELEM-SN;ELEM-PB,FAC-FOUNDRY,PROC-ALLOYING,,
MAT-SOLDER_SAC305,Solder SAC305,Бессвинцовый припой (RoHS),SPECIFIC,GRP-NONFERR,SCI-CHEMISTRY,,,ELEM-SN;ELEM-AG;ELEM-CU,FAC-FOUNDRY,PROC-ALLOYING,,
MAT-GOLD_24K,Gold 24K,Чистое золото (Слитки/Электроника),SPECIFIC,GRP-NONFERR,SCI-CHEMISTRY,,,ELEM-AU,FAC-REFINERY,PROC-REFINING,,
MAT-GOLD_18K,Gold 18K,Ювелирное золото 750,SPECIFIC,GRP-NONFERR,SCI-CHEMISTRY,,,ELEM-AU;ELEM-CU;ELEM-AG,FAC-FOUNDRY,PROC-ALLOYING,,
MAT-SILVER_STERLING,Sterling Silver,Серебро 925,SPECIFIC,GRP-NONFERR,SCI-CHEMISTRY,,,ELEM-AG;ELEM-CU,FAC-FOUNDRY,PROC-ALLOYING,,
MAT-PLATINUM_950,Platinum 950,Платина (Ювелирка/Катализаторы),SPECIFIC,GRP-NONFERR,SCI-CHEMISTRY,,,ELEM-PT;ELEM-RU,FAC-FOUNDRY,PROC-ALLOYING,,
MAT-ZIRCALOY,Zircaloy,Циркалой (ТВЭЛы АЭС),SPECIFIC,GRP-NONFERR,SCI-PHYSICS,,,ELEM-ZR;ELEM-SN,FAC-SMELTER,PROC-VACUUM_MELTING,,
MAT-TANTALUM_CAP,Capacitor Grade Tantalum,Тантал (Конденсаторы),SPECIFIC,GRP-NONFERR,SCI-PHYSICS,,,ELEM-TA,FAC-REFINERY,PROC-SINTERING,,
