ID,Name,Description,Level,Parent_Group,Req_Science,Req_Design,Req_Resource,Req_Material,Req_Infrastructure,Req_Process,Req_Artifact,Req_Society
MAT-STEEL_52100,Bearing Steel 52100,Подшипниковая сталь (ШХ15),SPECIFIC,GRP-FERROUS,SCI-METALLURGY,,,ELEM-FE;ELEM-CR;ELEM-C,FAC-STEEL_MILL,PROC-TEMPERING,,
MAT-STEEL_D2,Tool Steel D2,Штамповая сталь (Х12МФ),SPECIFIC,GRP-FERROUS,SCI-METALLURGY,,,ELEM-FE;ELEM-CR;ELEM-V,FAC-STEEL_MILL,PROC-TEMPERING,,
MAT-STEEL_O1,Tool Steel O1,Масляная закалка (Режущий инструмент),SPECIFIC,GRP-FERROUS,SCI-METALLURGY,,,ELEM-FE;ELEM-C;ELEM-MN;ELEM-W,FAC-STEEL_MILL,PROC-TEMPERING,,
MAT-STEEL_H13,Tool Steel H13,Для горячей штамповки,SPECIFIC,GRP-FERROUS,SCI-METALLURGY,,,ELEM-FE;ELEM-CR;ELEM-MO;ELEM-V,FAC-STEEL_MILL,PROC-TEMPERING,,
MAT-STEEL_M2,High Speed Steel M2,Быстрорез (Сверла/Фрезы),SPECIFIC,GRP-FERROUS,SCI-METALLURGY,,,ELEM-FE;ELEM-W;ELEM-MO;ELEM-V,FAC-STEEL_MILL,PROC-TEMPERING,,
MAT-STEEL_304,Stainless Steel 304,Пищевая нержавейка (Кастрюли),SPECIFIC,GRP-FERROUS,SCI-METALLURGY,,,ELEM-FE;ELEM-CR;ELEM-NI,FAC-STEEL_MILL,PROC-ALLOYING,,
MAT-STEEL_316,Stainless Steel 316,Морская нержавейка (Химстойкая),SPECIFIC,GRP-FERROUS,SCI-METALLURGY,,,ELEM-FE;ELEM-CR;ELEM-NI;ELEM-MO,FAC-STEEL_MILL,PROC-ALLOYING,,
MAT-STEEL_430,Ferritic Stainless 430,Магнитная нержавейка (Дешевая),SPECIFIC,GRP-FERROUS,SCI-METALLURGY,,,ELEM-FE;ELEM-CR,FAC-STEEL_MILL,PROC-ALLOYING,,
MAT-STEEL_17-4PH,Precipitation Hardening SS,Авиационная нержавейка,SPECIFIC,GRP-FERROUS,SCI-METALLURGY,,,ELEM-FE;ELEM-CR;ELEM-NI;ELEM-CU,FAC-STEEL_MILL,PROC-TEMPERING,,
MAT-STEEL_CORTEN,Weathering Steel,Кортеновская сталь (Ржавеет красиво),SPECIFIC,GRP-FERROUS,SCI-METALLURGY,,,ELEM-FE;ELEM-CU;ELEM-CR;ELEM-NI,FAC-STEEL_MILL,PROC-ROLLING,,
MAT-STEEL_MARAGING,Maraging Steel,Мартенситно-стареющая (Центрифуги),SPECIFIC,GRP-FERROUS,SCI-METALLURGY,,,ELEM-FE;ELEM-NI;ELEM-CO;ELEM-MO,FAC-STEEL_MILL,PROC-TEMPERING,,
MAT-STEEL_ARMOR,RHA Armor,Гомогенная броня (Танки),SPECIFIC,GRP-FERROUS,SCI-METALLURGY,,,ELEM-FE;ELEM-C;ELEM-MN;ELEM-NI,FAC-STEEL_MILL,PROC-ROLLING,,
MAT-STEEL_DAMASCUS,Damascus Steel,Дамасская сталь (Узорчатая),SPECIFIC,GRP-FERROUS,SCI-METALLURGY,,,ELEM-FE;ELEM-C,FAC-FORGE,PROC-FORGING,,
MAT-INVAR,Invar,Инвар (Не расширяется от тепла),SPECIFIC,GRP-FERROUS,SCI-PHYSICS,,,ELEM-FE;ELEM-NI,FAC-STEEL_MILL,PROC-ALLOYING,,
