ID,Name,Type,Era,Parents,Trigger,Principle,Tech_Make,Tech_Use
PRIM-08,CLAY,MATERIAL,INTUITIVE,[F-01;F-02],Wet earth is plastic; Dry earth is hard,Plasticity,Gathering,Modeling/Pottery
PRIM-09,SUN_BRICK,MATERIAL,INTUITIVE,[ENV-01;PRIM-08],Mud dried in box shape stacks well,Modularity,Molding,Building Walls
PRIM-10,KILN,MACHINE,INTUITIVE,[ENV-01;PRIM-09],Enclosed fire gets hotter than open fire,Heat Concentration,Masonry,Firing/Smelting
PRIM-11,CERAMICS,INVENTION,INTUITIVE,[ENV-03],Fire turns clay into stone,Sintering,Firing,Waterproof storage
PRIM-12,DUGOUT_CANOE,TRANSPORT,INTUITIVE,[ENV-01;S-01],Wood floats; Fire hollows tree,Buoyancy,Burn and Scrape,Water Transport
PRIM-13,SAIL,TOOL,INTUITIVE,[PRIM-07;F-03],Wind pushes large cloth surface,Aerodynamics,Rigging,Wind Energy Capture
PRIM-14,COPPER_NATIVE,MATERIAL,INTUITIVE,[ENV-01],Shiny red stone beats into shape,Malleability,Cold hammering,Decoration/Early Tools
PRIM-15,SMELTING,DISCOVERY,INTUITIVE,[ENV-03;PRIM-14],Green stones in Kiln turn into red metal,Reduction,Charcoal furnace,Extracting Metal
PRIM-16,BRONZE,ALLOY,INTUITIVE,[ENV-04;PRIM-15],Mixing soft metals (Copper+Tin) makes hard metal,Alloying,Melting,Weapons/Tools
PRIM-17,DOMESTICATION,DISCOVERY,INTUITIVE,[ENV-SCI-01;S-09],Animals can be tamed for food and work,Symbiosis,Breeding,Energy Source
PRIM-18,PLOUGH,TOOL,INTUITIVE,[ENV-02;PRIM-17],Stick pulled by Ox breaks soil deep,Leverage,Joinery,Agriculture
PRIM-19,POTTERY_WHEEL,MACHINE,INTUITIVE,[ENV-03;S-04],Spinning platform makes rounder pots,Rotational Inertia,Axle mounting,Mass production
PRIM-20,SILK,MATERIAL,INTUITIVE,[ENV-01;PRIM-03],Worm cocoon unravels into thread,Protein Fiber,Boiling,Luxury Cloth
PRIM-21,WRITING_SHELL,SYMBOL,INTUITIVE,[ENV-SCI-01;PRIM-01],Scratches on bone store meaning,Semiotic Encoding,Carving,Record Keeping
PRIM-22,COMPASS_LODESTONE,DISCOVERY,INTUITIVE,[ENV-SCI-01;PRIM-02],Magnetized needle floats North,Magnetism,Floating,Navigation
PRIM-23,PAPER,MATERIAL,SCIENTIFIC,[ENV-03;PRIM-07],Fibers dried on screen with glue size,Hydrogen Bonding,Pulping,Info Storage
PRIM-24,GUNPOWDER,DISCOVERY,SCIENTIFIC,[ENV-07;PRIM-15],Sulfur+Charcoal+Saltpeter,Rapid Oxidation,Mixing,Explosives
PRIM-25,BELLOWS,MACHINE,INTUITIVE,[ENV-02;PRIM-46],Leather bag pumps air into fire,Oxygen Concentration,Valve/Sewing,Smelting Iron
PRIM-26,IRON_SMELTING,DISCOVERY,INTUITIVE,[ENV-04;PRIM-25],High temp fire melts iron,Reduction,Blast Furnace,Tools
PRIM-27,STEEL,ALLOY,INTUITIVE,[ENV-04;PRIM-26],Iron heated with charcoal becomes flexible,Carbon infusion,Forging,Swords
PRIM-28,GLASS,MATERIAL,INTUITIVE,[ENV-03;PRIM-25],Melted sand becomes transparent stone,Amorphous Solid,Glassblowing,Windows
PRIM-29,LENS,TOOL,INTUITIVE,[ENV-02;PRIM-28],Curved glass magnifies,Refraction,Grinding,Magnification
PRIM-30,ALPHABET,SYMBOL,INTUITIVE,[ENV-SCI-02;PRIM-21],Symbols represent sounds not objects,Phonetics,Writing,Literacy
PRIM-31,ZERO,DISCOVERY,INTUITIVE,[ENV-SCI-02;S-10],Symbol for nothing allows complex math,Positional Notation,Math,Calculation
PRIM-32,GEAR,MACHINE,INTUITIVE,[ENV-02;PRIM-16],Toothed wheel transmits precise motion,Torque Transmission,Casting/Cutting,Mechanisms
PRIM-33,WATER_WHEEL,MACHINE,INTUITIVE,[ENV-SITE-A;PRIM-32],River turns axle to power machines,Kinetic Energy,Axle mounting,Automation
PRIM-34,ARCH_KEYSTONE,STRUCTURE,INTUITIVE,[ENV-SITE-A;PRIM-09],Wedge stones hold up wall by gravity,Compression,Masonry,Bridges
PRIM-35,CONCRETE,MATERIAL,INTUITIVE,[ENV-SITE-A;PRIM-49],Ash+Lime+Water turns to stone,Hydration,Mixing,Architecture
PRIM-36,SCREW_PUMP,MACHINE,INTUITIVE,[ENV-02;S-07],Inclined plane wrapped on cylinder lifts water,Helical Plane,Carpentry,Irrigation
PRIM-37,WINDMILL,MACHINE,INTUITIVE,[ENV-SITE-A;PRIM-32;PRIM-13],Sails turn gears to grind grain,Wind Energy,Gearing,Milling
PRIM-38,PAPER_MILL,FACTORY,INTUITIVE,[ENV-SITE-A;PRIM-23;PRIM-33],Water wheel pulps rags,Industrialization,Mechanization,Cheap Paper
PRIM-39,MOVABLE_TYPE,INVENTION,INTUITIVE,[ENV-04;PRIM-26],Metal letters in frame,Standardization,Casting,Printing
PRIM-40,PRINTING_PRESS,MACHINE,PRE_SCIENTIFIC,[ENV-02;PRIM-39;S-07],Screw press prints inked type,Replication,Mechanics,Mass Info
PRIM-41,FERMENTATION,DISCOVERY,INTUITIVE,[ENV-03;S-09],Grain bubbles and changes taste,Anaerobic Digestion,Brewing,Preservation
PRIM-42,AXLE_GREASE,INVENTION,INTUITIVE,[ENV-01;PRIM-17],Animal fat reduces friction on axle,Lubrication,Application,Transport
PRIM-43,ROAD_PAVED,INFRASTRUCTURE,INTUITIVE,[ENV-SITE-A;SOC-04;F-01],Stones placed on dirt prevent mud,Surface Hardening,Masonry,Logistics
PRIM-44,COIN,SOCIAL_ARTIFACT,INTUITIVE,[ENV-04;SOC-07],Stamped metal weight guarantees value,Standardization,Minting,Economy
PRIM-45,MAP,SYMBOL,INTUITIVE,[ENV-SCI-02;PRIM-22],World on paper helps navigation,Spatial Abstraction,Drawing,Navigation
PRIM-46,LEATHER_TANNING,PROCESS,INTUITIVE,[ENV-01;F-02],Tannins soften skin and stop rot,Preservation,Soaking,Clothing/Armor
PRIM-47,SALT_CURING,DISCOVERY,INTUITIVE,[ENV-01;F-02],Salt dries meat and stops rot,Dehydration,Evaporation,Food Storage
PRIM-48,FISHING_NET,TOOL,INTUITIVE,[S-05],Rope grid traps fish,Filtration,Knotting,Food
PRIM-49,MORTAR_LIME,MATERIAL,INTUITIVE,[ENV-03;F-01],Burnt lime glues stone,Chemical Bonding,Burning,Architecture
PRIM-50,STIRRUP,TOOL,INTUITIVE,[ENV-02;PRIM-46],Foot loop for rider stability,Stability,Leatherworking,Cavalry
PRIM-51,RUDDER,TOOL,INTUITIVE,[ENV-02;PRIM-12],Stern oar steers ship,Hydrodynamics,Carpentry,Navigation
PRIM-52,CRANE,MACHINE,INTUITIVE,[ENV-SITE-A;S-06],Pulleys lift stone,Mechanical Advantage,Rigging,Construction
PRIM-53,INK,MATERIAL,INTUITIVE,[ENV-01;PRIM-01],Soot+Glue+Water,Pigmentation,Mixing,Writing
PRIM-54,NAIL,TOOL,INTUITIVE,[ENV-04;PRIM-16],Metal spike holds wood,Friction/Shear Strength,Forging,Shipbuilding/Construction
PRIM-55,RULER,TOOL,INTUITIVE,[ENV-02;S-10],Standardized stick measures length,Measurement,Carving,Engineering/Trade
PRIM-56,SAW,TOOL,INTUITIVE,[ENV-04;S-01],Serrated metal blade cuts wood planks,Friction/Cutting,Forging,Carpentry/Lumber
PRIM-58,ANVIL,TOOL,INTUITIVE,[ENV-04;PRIM-26],Heavy block to hammer against,Rebound,Casting,Smithing
PRIM-59,BALANCE_SCALE,TOOL,INTUITIVE,[ENV-02;S-02;PRIM-09],Comparing weight against stones/grain,Leverage/Equilibrium,Carpentry/Carving,Trade/Chemistry
PRIM-60,PLUMB_BOB,TOOL,INTUITIVE,[S-05;F-01;S-01],Heavy stone on string hangs straight down,Gravity/Verticality,Knotting,Masonry/Pyramids
PRIM-61,WATER_LEVEL,TOOL,INTUITIVE,[PRIM-05;F-02;ENV-SITE-A],Water surface is always flat relative to earth,Hydrostatics,Pottery/Digging,Aqueducts/Foundations
PRIM-62,SET_SQUARE,TOOL,INTUITIVE,[ENV-02;PRIM-55;S-10],Triangle with sides 3-4-5 makes perfect corner,Geometry/Pythagoras,Carpentry,Masonry/Joinery
PRIM-63,GROMA_SURVEY,TOOL,INTUITIVE,[ENV-02;PRIM-60;S-10],Cross with plumb bobs to sight straight lines,Geometry/Sighting,Carpentry,Roads/Agriculture/City Planning
PRIM-64,SURVEY_CHAIN,TOOL,INTUITIVE,[ENV-04;PRIM-55;PRIM-54],Metal chain of fixed length measures land,Standardization/Non-stretching,Forging,Land Tax/Mapping
PRIM-65,GNOMON_SUNDIAL,TOOL,INTUITIVE,[ENV-SCI-01;S-01;F-03],Stick shadow moves with the sun,Planetary Rotation,Observation,Daily Schedule
PRIM-66,WATER_CLOCK,MACHINE,INTUITIVE,[PRIM-05;F-02;PRIM-55],Water drips at constant rate through hole,Flow Rate,Pottery,Night Watch/Court Limits
PRIM-67,CROSS_STAFF,TOOL,INTUITIVE,[ENV-SCI-01;PRIM-55;S-10],Measuring angle between star and horizon,Trigonometry,Carpentry,Ocean Navigation
