ID,Name,Description,Level,Parent_Group,Req_Science,Req_Design,Req_Resource,Req_Material,Req_Infrastructure,Req_Process,Req_Artifact,Req_Society
RES-FLUORITE,Fluorite,Флюорит,SPECIFIC,CAT-MIN,SCI-GEOLOGY,,,,,FAC-MINE,PROC-EXTRACTION,,
RES-MONAZITE,Monazite,Редкоземельная руда,SPECIFIC,CAT-MIN,SCI-GEOLOGY,,,,,FAC-MINE,PROC-EXTRACTION,,
RES-COLUMBITE,Columbite,Ниобиевая руда,SPECIFIC,CAT-MIN,SCI-GEOLOGY,,,,,FAC-MINE,PROC-EXTRACTION,,
RES-MOLYBDENITE,Molybdenite,Молибденовая руда,SPECIFIC,CAT-MIN,SCI-GEOLOGY,,,,,FAC-MINE,PROC-EXTRACTION,,
RES-CINNABAR,Cinnabar,Киноварь (Ртуть),SPECIFIC,CAT-MIN,SCI-GEOLOGY,,,,,FAC-MINE,PROC-EXTRACTION,,
RES-ZIRCON,Zircon,Циркон,SPECIFIC,CAT-MIN,SCI-GEOLOGY,,,,,FAC-MINE,PROC-EXTRACTION,,
RES-BERYL,Beryl,Берилл,SPECIFIC,CAT-MIN,SCI-GEOLOGY,,,,,FAC-MINE,PROC-EXTRACTION,,
RES-VANADINITE,Vanadinite,Ванадиевая руда,SPECIFIC,CAT-MIN,SCI-GEOLOGY,,,,,FAC-MINE,PROC-EXTRACTION,,
RES-COBALTITE,Cobaltite,Кобальтовая руда,SPECIFIC,CAT-MIN,SCI-GEOLOGY,,,,,FAC-MINE,PROC-EXTRACTION,,
RES-PENTLANDITE,Pentlandite,Никелевая руда,SPECIFIC,CAT-MIN,SCI-GEOLOGY,,,,,FAC-MINE,PROC-EXTRACTION,,
RES-CLAY,Clay,Глина,SPECIFIC,CAT-MIN,SCI-GEOLOGY,,,,,FAC-MINE,PROC-EXTRACTION,,
RES-GRANITE,Granite,Гранит,SPECIFIC,CAT-MIN,SCI-GEOLOGY,,,,,FAC-MINE,PROC-EXTRACTION,,
