ID,Name,Description,Era,Predecessor_ID,Status,Syntropy_Score,Catalytic_Potential,Structural_Pattern,Invention_Reason,Social_Context,Drawbacks,Side_Effects,Impact_Map,Properties,External_Data_Link,Renewable,Location,Extraction_Method,Reserves_Estimate,Energy_Density_J_kg,Scarcity_Score,Knowledge_Completeness,Hidden_Potential_Hypothesis,Potential_Realization_Rate
RES-ORE_BR_CARAJAS_BATCH_01,Carajas IOCG (Batch 2020),High grade iron oxide (Fe2O3). Brazil. Fe: 65.5%.,ERA-05_ELECTRICAL,NULL,ACTIVE,4.92,10.0,TRIGONAL_HEXAGONAL,Nature,MKT-GLOBAL_TRADE,None,Tailings,MAT-STEEL:ENABLE:+10,"{'Fe': '65.47%', 'SiO2': '1.48%', 'Al2O3': '1.05%', 'P': '0.038%'}",NULL,FALSE,Brazil,Open-pit,Huge,0,0.15,0.99,None,0.95
RES-ORE_BR_CARAJAS_BATCH_02,Carajas IOCG (Batch 2021),High grade iron oxide (Fe2O3). Brazil. Fe: 67.3%.,ERA-05_ELECTRICAL,NULL,ACTIVE,5.01,10.0,TRIGONAL_HEXAGONAL,Nature,MKT-GLOBAL_TRADE,None,Tailings,MAT-STEEL:ENABLE:+10,"{'Fe': '67.29%', 'SiO2': '1.39%', 'Al2O3': '1.1%', 'P': '0.035%'}",NULL,FALSE,Brazil,Open-pit,Huge,0,0.15,0.99,None,0.95
RES-ORE_BR_CARAJAS_BATCH_03,Carajas IOCG (Batch 2022),High grade iron oxide (Fe2O3). Brazil. Fe: 65.5%.,ERA-05_ELECTRICAL,NULL,ACTIVE,4.92,10.0,TRIGONAL_HEXAGONAL,Nature,MKT-GLOBAL_TRADE,None,Tailings,MAT-STEEL:ENABLE:+10,"{'Fe': '65.49%', 'SiO2': '1.39%', 'Al2O3': '1.07%', 'P': '0.034%'}",NULL,FALSE,Brazil,Open-pit,Huge,0,0.15,0.99,None,0.95
RES-ORE_BR_CARAJAS_BATCH_04,Carajas IOCG (Batch 2023),High grade iron oxide (Fe2O3). Brazil. Fe: 66.4%.,ERA-05_ELECTRICAL,NULL,ACTIVE,4.96,10.0,TRIGONAL_HEXAGONAL,Nature,MKT-GLOBAL_TRADE,None,Tailings,MAT-STEEL:ENABLE:+10,"{'Fe': '66.43%', 'SiO2': '1.47%', 'Al2O3': '1.07%', 'P': '0.034%'}",NULL,FALSE,Brazil,Open-pit,Huge,0,0.15,0.99,None,0.95
RES-ORE_BR_CARAJAS_BATCH_05,Carajas IOCG (Batch 2024),High grade iron oxide (Fe2O3). Brazil. Fe: 65.7%.,ERA-05_ELECTRICAL,NULL,ACTIVE,4.94,10.0,TRIGONAL_HEXAGONAL,Nature,MKT-GLOBAL_TRADE,None,Tailings,MAT-STEEL:ENABLE:+10,"{'Fe': '65.67%', 'SiO2': '1.55%', 'Al2O3': '0.93%', 'P': '0.046%'}",NULL,FALSE,Brazil,Open-pit,Huge,0,0.15,0.99,None,0.95
RES-ORE_BR_CARAJAS_BATCH_06,Carajas IOCG (Batch 2025),High grade iron oxide (Fe2O3). Brazil. Fe: 65.3%.,ERA-05_ELECTRICAL,NULL,ACTIVE,4.91,10.0,TRIGONAL_HEXAGONAL,Nature,MKT-GLOBAL_TRADE,None,Tailings,MAT-STEEL:ENABLE:+10,"{'Fe': '65.33%', 'SiO2': '1.36%', 'Al2O3': '1.1%', 'P': '0.047%'}",NULL,FALSE,Brazil,Open-pit,Huge,0,0.15,0.99,None,0.95
RES-ORE_BR_CARAJAS_BATCH_07,Carajas IOCG (Batch 2026),High grade iron oxide (Fe2O3). Brazil. Fe: 65.4%.,ERA-05_ELECTRICAL,NULL,ACTIVE,4.91,10.0,TRIGONAL_HEXAGONAL,Nature,MKT-GLOBAL_TRADE,None,Tailings,MAT-STEEL:ENABLE:+10,"{'Fe': '65.44%', 'SiO2': '1.53%', 'Al2O3': '1.04%', 'P': '0.045%'}",NULL,FALSE,Brazil,Open-pit,Huge,0,0.15,0.99,None,0.95
RES-ORE_BR_CARAJAS_BATCH_08,Carajas IOCG (Batch 2027),High grade iron oxide (Fe2O3). Brazil. Fe: 66.1%.,ERA-05_ELECTRICAL,NULL,ACTIVE,4.98,10.0,TRIGONAL_HEXAGONAL,Nature,MKT-GLOBAL_TRADE,None,Tailings,MAT-STEEL:ENABLE:+10,"{'Fe': '66.09%', 'SiO2': '1.45%', 'Al2O3': '0.92%', 'P': '0.036%'}",NULL,FALSE,Brazil,Open-pit,Huge,0,0.15,0.99,None,0.95
RES-ORE_BR_CARAJAS_BATCH_09,Carajas IOCG (Batch 2028),High grade iron oxide (Fe2O3). Brazil. Fe: 64.9%.,ERA-05_ELECTRICAL,NULL,ACTIVE,4.88,10.0,TRIGONAL_HEXAGONAL,Nature,MKT-GLOBAL_TRADE,None,Tailings,MAT-STEEL:ENABLE:+10,"{'Fe': '64.94%', 'SiO2': '1.51%', 'Al2O3': '1.07%', 'P': '0.044%'}",NULL,FALSE,Brazil,Open-pit,Huge,0,0.15,0.99,None,0.95
RES-ORE_BR_CARAJAS_BATCH_10,Carajas IOCG (Batch 2029),High grade iron oxide (Fe2O3). Brazil. Fe: 65.4%.,ERA-05_ELECTRICAL,NULL,ACTIVE,4.93,10.0,TRIGONAL_HEXAGONAL,Nature,MKT-GLOBAL_TRADE,None,Tailings,MAT-STEEL:ENABLE:+10,"{'Fe': '65.38%', 'SiO2': '1.51%', 'Al2O3': '0.93%', 'P': '0.038%'}",NULL,FALSE,Brazil,Open-pit,Huge,0,0.15,0.99,None,0.95
RES-ORE_US_MESABI_BATCH_01,Mesabi Taconite (Batch 2020),"Hard rock, requires pelletizing. USA. Fe: 32.1%.",ERA-05_ELECTRICAL,NULL,ACTIVE,-3.69,10.0,SEDIMENTARY_BANDED,Nature,MKT-GLOBAL_TRADE,None,Tailings,MAT-STEEL:ENABLE:+10,"{'Fe': '32.06%', 'SiO2': '42.02%', 'Al2O3': '0.45%', 'P': '0.023%'}",NULL,FALSE,USA,Open-pit,Huge,0,0.1,0.99,None,0.95
RES-ORE_US_MESABI_BATCH_02,Mesabi Taconite (Batch 2021),"Hard rock, requires pelletizing. USA. Fe: 31.8%.",ERA-05_ELECTRICAL,NULL,ACTIVE,-3.77,10.0,SEDIMENTARY_BANDED,Nature,MKT-GLOBAL_TRADE,None,Tailings,MAT-STEEL:ENABLE:+10,"{'Fe': '31.79%', 'SiO2': '42.5%', 'Al2O3': '0.54%', 'P': '0.018%'}",NULL,FALSE,USA,Open-pit,Huge,0,0.1,0.99,None,0.95
RES-ORE_US_MESABI_BATCH_03,Mesabi Taconite (Batch 2022),"Hard rock, requires pelletizing. USA. Fe: 32.0%.",ERA-05_ELECTRICAL,NULL,ACTIVE,-4.17,10.0,SEDIMENTARY_BANDED,Nature,MKT-GLOBAL_TRADE,None,Tailings,MAT-STEEL:ENABLE:+10,"{'Fe': '31.96%', 'SiO2': '46.73%', 'Al2O3': '0.46%', 'P': '0.02%'}",NULL,FALSE,USA,Open-pit,Huge,0,0.1,0.99,None,0.95
RES-ORE_US_MESABI_BATCH_04,Mesabi Taconite (Batch 2023),"Hard rock, requires pelletizing. USA. Fe: 31.7%.",ERA-05_ELECTRICAL,NULL,ACTIVE,-4.16,10.0,SEDIMENTARY_BANDED,Nature,MKT-GLOBAL_TRADE,None,Tailings,MAT-STEEL:ENABLE:+10,"{'Fe': '31.66%', 'SiO2': '46.45%', 'Al2O3': '0.48%', 'P': '0.017%'}",NULL,FALSE,USA,Open-pit,Huge,0,0.1,0.99,None,0.95
RES-ORE_US_MESABI_BATCH_05,Mesabi Taconite (Batch 2024),"Hard rock, requires pelletizing. USA. Fe: 31.6%.",ERA-05_ELECTRICAL,NULL,ACTIVE,-3.82,10.0,SEDIMENTARY_BANDED,Nature,MKT-GLOBAL_TRADE,None,Tailings,MAT-STEEL:ENABLE:+10,"{'Fe': '31.55%', 'SiO2': '42.94%', 'Al2O3': '0.51%', 'P': '0.024%'}",NULL,FALSE,USA,Open-pit,Huge,0,0.1,0.99,None,0.95
RES-ORE_US_MESABI_BATCH_06,Mesabi Taconite (Batch 2025),"Hard rock, requires pelletizing. USA. Fe: 32.6%.",ERA-05_ELECTRICAL,NULL,ACTIVE,-4.17,10.0,SEDIMENTARY_BANDED,Nature,MKT-GLOBAL_TRADE,None,Tailings,MAT-STEEL:ENABLE:+10,"{'Fe': '32.59%', 'SiO2': '46.88%', 'Al2O3': '0.54%', 'P': '0.016%'}",NULL,FALSE,USA,Open-pit,Huge,0,0.1,0.99,None,0.95
RES-ORE_US_MESABI_BATCH_07,Mesabi Taconite (Batch 2026),"Hard rock, requires pelletizing. USA. Fe: 32.2%.",ERA-05_ELECTRICAL,NULL,ACTIVE,-3.88,10.0,SEDIMENTARY_BANDED,Nature,MKT-GLOBAL_TRADE,None,Tailings,MAT-STEEL:ENABLE:+10,"{'Fe': '32.23%', 'SiO2': '44.05%', 'Al2O3': '0.45%', 'P': '0.021%'}",NULL,FALSE,USA,Open-pit,Huge,0,0.1,0.99,None,0.95
RES-ORE_US_MESABI_BATCH_08,Mesabi Taconite (Batch 2027),"Hard rock, requires pelletizing. USA. Fe: 32.3%.",ERA-05_ELECTRICAL,NULL,ACTIVE,-3.66,10.0,SEDIMENTARY_BANDED,Nature,MKT-GLOBAL_TRADE,None,Tailings,MAT-STEEL:ENABLE:+10,"{'Fe': '32.33%', 'SiO2': '41.84%', 'Al2O3': '0.46%', 'P': '0.024%'}",NULL,FALSE,USA,Open-pit,Huge,0,0.1,0.99,None,0.95
RES-ORE_US_MESABI_BATCH_09,Mesabi Taconite (Batch 2028),"Hard rock, requires pelletizing. USA. Fe: 32.2%.",ERA-05_ELECTRICAL,NULL,ACTIVE,-4.22,10.0,SEDIMENTARY_BANDED,Nature,MKT-GLOBAL_TRADE,None,Tailings,MAT-STEEL:ENABLE:+10,"{'Fe': '32.24%', 'SiO2': '47.24%', 'Al2O3': '0.52%', 'P': '0.021%'}",NULL,FALSE,USA,Open-pit,Huge,0,0.1,0.99,None,0.95
RES-ORE_US_MESABI_BATCH_10,Mesabi Taconite (Batch 2029),"Hard rock, requires pelletizing. USA. Fe: 32.4%.",ERA-05_ELECTRICAL,NULL,ACTIVE,-3.87,10.0,SEDIMENTARY_BANDED,Nature,MKT-GLOBAL_TRADE,None,Tailings,MAT-STEEL:ENABLE:+10,"{'Fe': '32.44%', 'SiO2': '44.0%', 'Al2O3': '0.46%', 'P': '0.022%'}",NULL,FALSE,USA,Open-pit,Huge,0,0.1,0.99,None,0.95
RES-ORE_RU_KMA_BATCH_01,Kursk Concentrate (Batch 2020),Magnetic iron oxide (Fe3O4). Russia. Fe: 65.6%.,ERA-05_ELECTRICAL,NULL,ACTIVE,5.41,10.0,ISOMETRIC_SPINEL,Nature,MKT-GLOBAL_TRADE,None,Tailings,MAT-STEEL:ENABLE:+10,"{'Fe': '65.61%', 'SiO2': '3.26%', 'Al2O3': '0.2%', 'P': '0.011%'}",NULL,FALSE,Russia,Open-pit,Huge,0,0.1,0.99,None,0.95
RES-ORE_RU_KMA_BATCH_02,Kursk Concentrate (Batch 2021),Magnetic iron oxide (Fe3O4). Russia. Fe: 66.2%.,ERA-05_ELECTRICAL,NULL,ACTIVE,5.39,10.0,ISOMETRIC_SPINEL,Nature,MKT-GLOBAL_TRADE,None,Tailings,MAT-STEEL:ENABLE:+10,"{'Fe': '66.23%', 'SiO2': '3.8%', 'Al2O3': '0.21%', 'P': '0.01%'}",NULL,FALSE,Russia,Open-pit,Huge,0,0.1,0.99,None,0.95
RES-ORE_RU_KMA_BATCH_03,Kursk Concentrate (Batch 2022),Magnetic iron oxide (Fe3O4). Russia. Fe: 66.2%.,ERA-05_ELECTRICAL,NULL,ACTIVE,5.39,10.0,ISOMETRIC_SPINEL,Nature,MKT-GLOBAL_TRADE,None,Tailings,MAT-STEEL:ENABLE:+10,"{'Fe': '66.22%', 'SiO2': '3.83%', 'Al2O3': '0.18%', 'P': '0.012%'}",NULL,FALSE,Russia,Open-pit,Huge,0,0.1,0.99,None,0.95
RES-ORE_RU_KMA_BATCH_04,Kursk Concentrate (Batch 2023),Magnetic iron oxide (Fe3O4). Russia. Fe: 64.3%.,ERA-05_ELECTRICAL,NULL,ACTIVE,5.31,10.0,ISOMETRIC_SPINEL,Nature,MKT-GLOBAL_TRADE,None,Tailings,MAT-STEEL:ENABLE:+10,"{'Fe': '64.29%', 'SiO2': '3.67%', 'Al2O3': '0.19%', 'P': '0.011%'}",NULL,FALSE,Russia,Open-pit,Huge,0,0.1,0.99,None,0.95
RES-ORE_RU_KMA_BATCH_05,Kursk Concentrate (Batch 2024),Magnetic iron oxide (Fe3O4). Russia. Fe: 63.8%.,ERA-05_ELECTRICAL,NULL,ACTIVE,5.28,10.0,ISOMETRIC_SPINEL,Nature,MKT-GLOBAL_TRADE,None,Tailings,MAT-STEEL:ENABLE:+10,"{'Fe': '63.79%', 'SiO2': '3.72%', 'Al2O3': '0.19%', 'P': '0.012%'}",NULL,FALSE,Russia,Open-pit,Huge,0,0.1,0.99,None,0.95
RES-ORE_RU_KMA_BATCH_06,Kursk Concentrate (Batch 2025),Magnetic iron oxide (Fe3O4). Russia. Fe: 65.4%.,ERA-05_ELECTRICAL,NULL,ACTIVE,5.38,10.0,ISOMETRIC_SPINEL,Nature,MKT-GLOBAL_TRADE,None,Tailings,MAT-STEEL:ENABLE:+10,"{'Fe': '65.39%', 'SiO2': '3.49%', 'Al2O3': '0.19%', 'P': '0.011%'}",NULL,FALSE,Russia,Open-pit,Huge,0,0.1,0.99,None,0.95
RES-ORE_RU_KMA_BATCH_07,Kursk Concentrate (Batch 2026),Magnetic iron oxide (Fe3O4). Russia. Fe: 66.0%.,ERA-05_ELECTRICAL,NULL,ACTIVE,5.44,10.0,ISOMETRIC_SPINEL,Nature,MKT-GLOBAL_TRADE,None,Tailings,MAT-STEEL:ENABLE:+10,"{'Fe': '66.03%', 'SiO2': '3.26%', 'Al2O3': '0.18%', 'P': '0.009%'}",NULL,FALSE,Russia,Open-pit,Huge,0,0.1,0.99,None,0.95
RES-ORE_RU_KMA_BATCH_08,Kursk Concentrate (Batch 2027),Magnetic iron oxide (Fe3O4). Russia. Fe: 66.2%.,ERA-05_ELECTRICAL,NULL,ACTIVE,5.39,10.0,ISOMETRIC_SPINEL,Nature,MKT-GLOBAL_TRADE,None,Tailings,MAT-STEEL:ENABLE:+10,"{'Fe': '66.19%', 'SiO2': '3.74%', 'Al2O3': '0.22%', 'P': '0.01%'}",NULL,FALSE,Russia,Open-pit,Huge,0,0.1,0.99,None,0.95
RES-ORE_RU_KMA_BATCH_09,Kursk Concentrate (Batch 2028),Magnetic iron oxide (Fe3O4). Russia. Fe: 64.0%.,ERA-05_ELECTRICAL,NULL,ACTIVE,5.32,10.0,ISOMETRIC_SPINEL,Nature,MKT-GLOBAL_TRADE,None,Tailings,MAT-STEEL:ENABLE:+10,"{'Fe': '63.96%', 'SiO2': '3.36%', 'Al2O3': '0.21%', 'P': '0.01%'}",NULL,FALSE,Russia,Open-pit,Huge,0,0.1,0.99,None,0.95
RES-ORE_RU_KMA_BATCH_10,Kursk Concentrate (Batch 2029),Magnetic iron oxide (Fe3O4). Russia. Fe: 65.1%.,ERA-05_ELECTRICAL,NULL,ACTIVE,5.39,10.0,ISOMETRIC_SPINEL,Nature,MKT-GLOBAL_TRADE,None,Tailings,MAT-STEEL:ENABLE:+10,"{'Fe': '65.06%', 'SiO2': '3.25%', 'Al2O3': '0.2%', 'P': '0.011%'}",NULL,FALSE,Russia,Open-pit,Huge,0,0.1,0.99,None,0.95
RES-ORE_ZA_KALAHARI_BATCH_01,Kalahari Mn (Batch 2020),Manganese ore. South Africa. Mn: 39.0%.,ERA-04_INDUSTRIAL,NULL,ACTIVE,1.74,50.0,TETRAGONAL,Nature,MKT-GLOBAL_TRADE,None,Tailings,MAT-STEEL:ENABLE:+10,"{'Mn': '38.99%', 'SiO2': '4.13%', 'Al2O3': '0.49%', 'P': '0.114%'}",NULL,FALSE,South Africa,Open-pit,Huge,0,0.4,0.99,None,0.95
RES-ORE_ZA_KALAHARI_BATCH_02,Kalahari Mn (Batch 2021),Manganese ore. South Africa. Mn: 36.6%.,ERA-04_INDUSTRIAL,NULL,ACTIVE,1.79,50.0,TETRAGONAL,Nature,MKT-GLOBAL_TRADE,None,Tailings,MAT-STEEL:ENABLE:+10,"{'Mn': '36.60%', 'SiO2': '3.65%', 'Al2O3': '0.46%', 'P': '0.108%'}",NULL,FALSE,South Africa,Open-pit,Huge,0,0.4,0.99,None,0.95
